old_name,input_directory,new_name_1_component,new_name_2_components,new_name_3_components
wf_claude_claude-sonnet-4-20250514_detailed_20251009_162941,c:\idt\testimages,wf_testimages_claude_claude-sonnet-4-20250514_detailed_20251009_162941,wf_idt_testimages_claude_claude-sonnet-4-20250514_detailed_20251009_162941,wf_c_idt_testimages_claude_claude-sonnet-4-20250514_detailed_20251009_162941
wf_claude_claude-sonnet-4-20250514_detailed_20251009_163650,C:\idt\testimages,wf_testimages_claude_claude-sonnet-4-20250514_detailed_20251009_163650,wf_idt_testimages_claude_claude-sonnet-4-20250514_detailed_20251009_163650,wf_c_idt_testimages_claude_claude-sonnet-4-20250514_detailed_20251009_163650
wf_claude_claude-sonnet-4-20250514_narrative_20251010_210805,C:\Users\kelly\GitHub\idt\idtexternal\testimages,wf_testimages_claude_claude-sonnet-4-20250514_narrative_20251010_210805,wf_idtexternal_testimages_claude_claude-sonnet-4-20250514_narrative_20251010_210805,wf_idt_idtexternal_testimages_claude_claude-sonnet-4-20250514_narrative_20251010_210805
wf_claude_claude-sonnet-4-20250514_narrative_20251011_003951,C:\Users\kelly\GitHub\idt\idtexternal\idt\bat\testimages,wf_testimages_claude_claude-sonnet-4-20250514_narrative_20251011_003951,wf_bat_testimages_claude_claude-sonnet-4-20250514_narrative_20251011_003951,wf_idt_bat_testimages_claude_claude-sonnet-4-20250514_narrative_20251011_003951
wf_claude_claude-sonnet-4-5-20250929_detailed_20251009_162823,c:\idt\testimages,wf_testimages_claude_claude-sonnet-4-5-20250929_detailed_20251009_162823,wf_idt_testimages_claude_claude-sonnet-4-5-20250929_detailed_20251009_162823,wf_c_idt_testimages_claude_claude-sonnet-4-5-20250929_detailed_20251009_162823
wf_claude_claude-sonnet-4-5-20250929_detailed_20251009_163642,C:\idt\testimages,wf_testimages_claude_claude-sonnet-4-5-20250929_detailed_20251009_163642,wf_idt_testimages_claude_claude-sonnet-4-5-20250929_detailed_20251009_163642,wf_c_idt_testimages_claude_claude-sonnet-4-5-20250929_detailed_20251009_163642
wf_claude_claude-sonnet-4-5-20250929_narrative_20251010_210251,C:\Users\kelly\GitHub\idt\idtexternal\testimages,wf_testimages_claude_claude-sonnet-4-5-20250929_narrative_20251010_210251,wf_idtexternal_testimages_claude_claude-sonnet-4-5-20250929_narrative_20251010_210251,wf_idt_idtexternal_testimages_claude_claude-sonnet-4-5-20250929_narrative_20251010_210251
wf_claude_claude-sonnet-4-5-20250929_narrative_20251011_003806,C:\Users\kelly\GitHub\idt\idtexternal\idt\bat\testimages,wf_testimages_claude_claude-sonnet-4-5-20250929_narrative_20251011_003806,wf_bat_testimages_claude_claude-sonnet-4-5-20250929_narrative_20251011_003806,wf_idt_bat_testimages_claude_claude-sonnet-4-5-20250929_narrative_20251011_003806
wf_ollama_bakllava_latest_detailed_20251009_162041,C:\idt\testimages,wf_testimages_ollama_bakllava_latest_detailed_20251009_162041,wf_idt_testimages_ollama_bakllava_latest_detailed_20251009_162041,wf_c_idt_testimages_ollama_bakllava_latest_detailed_20251009_162041
wf_ollama_bakllava_latest_detailed_20251009_183406,C:\idt\testimages,wf_testimages_ollama_bakllava_latest_detailed_20251009_183406,wf_idt_testimages_ollama_bakllava_latest_detailed_20251009_183406,wf_c_idt_testimages_ollama_bakllava_latest_detailed_20251009_183406
